Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
,,,,,LPG Gas,3,,,,,,,,
,,,,Dryer Total,,41,,,,,,,,
,,,,Microwave,Bench Top,18,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,,Combination,3,,,,,,,,
,,,,Microwave Total,,26,,,,,,,,
,,,,Bain Marie,(blank),25,,,,,,,,
,,,,Bain Marie Total,,25,,,,,,,,
,,,,Oven - (Built In),(blank),13,,,,,,,,
,,,,Oven - (Built In) Total,,13,,,,,,,,
,,,,Ice Maker,(blank),6,,,,,,,,
,,,,Ice Maker Total,,6,,,,,,,,
,,,Other Total,,,1722,,,,,,,,
,,,Ariston - (Domestic),Dishwasher,Under Bench,272,,,,,,,,
,,,,,Free Standing,175,,,,,,,,
,,,,,(blank),61,,,,,,,,
,,,,,Double Dish Drawer,18,,,,,,,,
,,,,,Fully Integrated,7,,,,,,,,
,,,,Dishwasher Total,,533,,,,,,,,
,,,,Washing Machine,Front Loader,371,,,,,,,,
,,,,,(blank),7,,,,,,,,
,,,,,Other,5,,,,,,,,
,,,,Washing Machine Total,,383,,,,,,,,
,,,,Oven - (Freestanding),Electric,107,,,,,,,,
,,,,,Free Standing,89,,,,,,,,
,,,,,Built In,51,,,,,,,,
,,,,,(blank),36,,,,,,,,
,,,,,Gas,20,,,,,,,,
,,,,,Natural Gas,9,,,,,,,,
,,,,,Dual Fuel,9,,,,,,,,
,,,,,Double,6,,,,,,,,
,,,,,LPG Gas,6,,,,,,,,
,,,,Oven - (Freestanding) Total,,333,,,,,,,,
,,,,Oven - (Built In),Electric,102,,,,,,,,
,,,,,(blank),35,,,,,,,,
,,,,Oven - (Built In) Total,,137,,,,,,,,
,,,,Cooktop,Natural Gas,76,,,,,,,,
,,,,,Gas,16,,,,,,,,
,,,,,Ceramic,9,,,,,,,,
,,,,,Induction,4,,,,,,,,
,,,,Cooktop Total,,105,,,,,,,,
,,,,Combo Washer & Dryer,(blank),51,,,,,,,,
,,,,,Electric,36,,,,,,,,
,,,,Combo Washer & Dryer Total,,87,,,,,,,,
,,,,Rangehood,(blank),15,,,,,,,,
,,,,,Canopy,6,,,,,,,,
,,,,Rangehood Total,,21,,,,,,,,
,,,,Microwave,Built In,15,,,,,,,,
,,,,Microwave Total,,15,,,,,,,,
,,,,Dryer,(blank),11,,,,,,,,
,,,,Dryer Total,,11,,,,,,,,
,,,,Refrigerator,(blank),5,,,,,,,,
,,,,,Freezer Only,4,,,,,,,,
,,,,Refrigerator Total,,9,,,,,,,,
,,,,Coffee Machine,(blank),7,,,,,,,,
,,,,Coffee Machine Total,,7,,,,,,,,
,,,Ariston - (Domestic) Total,,,1641,,,,,,,,
,,,Maytag - (Commercial),Washing Machine,(blank),523,,,,,,,,
,,,,,Front Loader,177,,,,,,,,
,,,,,Top Loader,164,,,,,,,,
,,,,,Stacked,55,,,,,,,,
,,,,,Commercial,12,,,,,,,,
,,,,Washing Machine Total,,931,,,,,,,,
,,,,Dryer,(blank),412,,,,,,,,
,,,,,Commercial,57,,,,,,,,
,,,,,Natural Gas,40,,,,,,,,
,,,,,Vented,32,,,,,,,,
,,,,,Heat Pump,16,,,,,,,,
,,,,Dryer Total,,557,,,,,,,,
,,,,Commercial Appliance,Washer & Dryer Combo,45,,,,,,,,
,,,,,Washing Machine,14,,,,,,,,
,,,,Commercial Appliance Total,,59,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,21,,,,,,,,
,,,,Refrigerator Total,,21,,,,,,,,
,,,,stacked washer & dryer,(blank),18,,,,,,,,
,,,,stacked washer & dryer Total,,18,,,,,,,,
,,,,Other,(blank),5,,,,,,,,
,,,,Other Total,,5,,,,,,,,
,,,Maytag - (Commercial) Total,,,1591,,,,,,,,
,,,Grand Cru - (Premium Domestic) - (Limited Parts),Refrigerator,Wine Fridge,940,,,,,,,,
,,,,,(blank),566,,,,,,,,
,,,,,Bar Fridge,12,,,,,,,,
,,,,Refrigerator Total,,1518,,,,,,,,
,,,,Other,(blank),11,,,,,,,,
,,,,Other Total,,11,,,,,,,,
,,,Grand Cru - (Premium Domestic) - (Limited Parts) Total,,,1529,,,,,,,,
,,,Siemens - (Domestic),Dishwasher,Fully Integrated,216,,,,,,,,
,,,,,Under Bench,149,,,,,,,,
,,,,,Free Standing,49,,,,,,,,
,,,,,(blank),36,,,,,,,,
,,,,,Semi Integrated,18,,,,,,,,
,,,,,Single Dish Drawer,3,,,,,,,,
,,,,Dishwasher Total,,471,,,,,,,,
,,,,Washing Machine,Front Loader,151,,,,,,,,
,,,,,(blank),4,,,,,,,,
,,,,,Top Loader,3,,,,,,,,
,,,,Washing Machine Total,,158,,,,,,,,
,,,,Oven - (Freestanding),Electric,87,,,,,,,,
,,,,,Combination Microwave & Oven,21,,,,,,,,
,,,,,Built In,14,,,,,,,,
,,,,,Gas,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,127,,,,,,,,
,,,,Cooktop,Gas,44,,,,,,,,
,,,,,Induction,38,,,,,,,,
,,,,,Natural Gas,4,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,Cooktop Total,,89,,,,,,,,
,,,,Dryer,Condenser,42,,,,,,,,
,,,,,Heat Pump,24,,,,,,,,
,,,,,(blank),23,,,,,,,,
,,,,Dryer Total,,89,,,,,,,,
,,,,Oven - (Built In),Electric,52,,,,,,,,
,,,,,(blank),4,,,,,,,,
,,,,Oven - (Built In) Total,,56,,,,,,,,
,,,,Microwave,Built In,43,,,,,,,,
,,,,,Combination,3,,,,,,,,
,,,,Microwave Total,,46,,,,,,,,
,,,,Other,(blank),38,,,,,,,,
,,,,Other Total,,38,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,25,,,,,,,,
,,,,,Freezer Only,1,,,,,,,,
,,,,Refrigerator Total,,26,,,,,,,,
,,,,Rangehood,Slide out,13,,,,,,,,
,,,,Rangehood Total,,13,,,,,,,,
,,,Siemens - (Domestic) Total,,,1113,,,,,,,,
,,,Speed Queen - (Commercial),Washing Machine,Top Loader,291,,,,,,,,
,,,,,(blank),196,,,,,,,,
,,,,,Front Loader,45,,,,,,,,
,,,,,Commercial,14,,,,,,,,
,,,,,Double Stacker,11,,,,,,,,
,,,,,Stacked,8,,,,,,,,
,,,,Washing Machine Total,,565,,,,,,,,
,,,,Dryer,(blank),434,,,,,,,,
,,,,,Commercial,20,,,,,,,,
,,,,,Electric,14,,,,,,,,
,,,,,Natural Gas,13,,,,,,,,
,,,,,Vented,13,,,,,,,,
,,,,,Gas,11,,,,,,,,
,,,,,Heat Pump,7,,,,,,,,
,,,,Dryer Total,,512,,,,,,,,
,,,,Commercial Appliance,Washing Machine,12,,,,,,,,
,,,,,Dryer,10,,,,,,,,
,,,,Commercial Appliance Total,,22,,,,,,,,
,,,Speed Queen - (Commercial) Total,,,1099,,,,,,,,
,,,Maytag @ Home - (Premium Domestic),Washing Machine,Top Loader,485,,,,,,,,
,,,,,Front Loader,89,,,,,,,,
,,,,,(blank),48,,,,,,,,
,,,,Washing Machine Total,,622,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,271,,,,,,,,
,,,,,Fridge Only,9,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,Refrigerator Total,,283,,,,,,,,
,,,,Dryer,(blank),127,,,,,,,,
,,,,,Heat Pump,22,,,,,,,,
,,,,Dryer Total,,149,,,,,,,,
,,,,Combo Washer & Dryer,Electric,9,,,,,,,,
,,,,Combo Washer & Dryer Total,,9,,,,,,,,
,,,,Dishwasher,Under Bench,6,,,,,,,,
,,,,Dishwasher Total,,6,,,,,,,,
,,,Maytag @ Home - (Premium Domestic) Total,,,1069,,,,,,,,
,,,Chef - (Domestic),Oven - (Freestanding),Free Standing,110,,,,,,,,
,,,,,Electric,107,,,,,,,,
,,,,,(blank),68,,,,,,,,
,,,,,Built In,62,,,,,,,,
,,,,,Natural Gas,46,,,,,,,,
,,,,,Dual Fuel,35,,,,,,,,
,,,,,Gas,10,,,,,,,,
,,,,,Double,6,,,,,,,,
,,,,Oven - (Freestanding) Total,,444,,,,,,,,
,,,,Cooktop,Electric,110,,,,,,,,
,,,,,Natural Gas,104,,,,,,,,
,,,,,Gas,78,,,,,,,,
,,,,,(blank),70,,,,,,,,
,,,,,LPG Gas,13,,,,,,,,
,,,,,Ceramic,12,,,,,,,,
,,,,,Induction,6,,,,,,,,
,,,,Cooktop Total,,393,,,,,,,,
,,,,Oven - (Built In),Electric,49,,,,,,,,
,,,,,Gas,37,,,,,,,,
,,,,,Oven with Seperate Grill,28,,,,,,,,
,,,,,(blank),27,,,,,,,,
,,,,Oven - (Built In) Total,,141,,,,,,,,
,,,,Rangehood,(blank),11,,,,,,,,
,,,,,Slide out,6,,,,,,,,
,,,,Rangehood Total,,17,,,,,,,,
,,,,Microwave,Combination,4,,,,,,,,
,,,,Microwave Total,,4,,,,,,,,
,,,,Dishwasher,Under Bench,3,,,,,,,,
,,,,Dishwasher Total,,3,,,,,,,,
,,,Chef - (Domestic) Total,,,1002,,,,,,,,
,,,Skope - (Commercial),Refrigerator,(blank),529,,,,,,,,
,,,,,Fridge Only,148,,,,,,,,
,,,,,Freezer Only,115,,,,,,,,
,,,,,Fridge & Freezer,43,,,,,,,,
,,,,,Other,16,,,,,,,,
,,,,,Bar Fridge,6,,,,,,,,
,,,,Refrigerator Total,,857,,,,,,,,
,,,,Commercial Appliance,Other,30,,,,,,,,
,,,,,Fridge & Freezer,19,,,,,,,,
,,,,,Display Fridge,8,,,,,,,,
,,,,,Bar Fridge,4,,,,,,,,
,,,,Commercial Appliance Total,,61,,,,,,,,
,,,Skope - (Commercial) Total,,,918,,,,,,,,
,,,Norris - (Commercial),Dishwasher,(blank),648,,,,,,,,
,,,,,Free Standing,63,,,,,,,,
,,,,,Under Bench,41,,,,,,,,
,,,,,Other,5,,,,,,,,
,,,,Dishwasher Total,,757,,,,,,,,
,,,,Commercial Appliance,Dishwasher - (Underbench),13,,,,,,,,
,,,,Commercial Appliance Total,,13,,,,,,,,
,,,,Other,(blank),13,,,,,,,,
,,,,Other Total,,13,,,,,,,,
,,,,Pass Through Dishwasher,(blank),5,,,,,,,,
,,,,Pass Through Dishwasher Total,,5,,,,,,,,
,,,Norris - (Commercial) Total,,,788,,,,,,,,
,,,Hoover - (Domestic),Washing Machine,Front Loader,240,,,,,,,,
,,,,,Top Loader,158,,,,,,,,
,,,,,(blank),6,,,,,,,,
,,,,Washing Machine Total,,404,,,,,,,,
,,,,Dryer,Condenser,65,,,,,,,,
,,,,,Vented,33,,,,,,,,
,,,,,Heat Pump,31,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,,Wall Mounted,14,,,,,,,,
,,,,,Free Standing,8,,,,,,,,
,,,,,Unknown,7,,,,,,,,
,,,,Dryer Total,,183,,,,,,,,
,,,,Vacuum Cleaner,(blank),55,,,,,,,,
,,,,,Domestic,13,,,,,,,,
,,,,,Unknown,5,,,,,,,,
,,,,Vacuum Cleaner Total,,73,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,42,,,,,,,,
,,,,Refrigerator Total,,42,,,,,,,,
,,,,Dishwasher,(blank),14,,,,,,,,
,,,,,Under Bench,7,,,,,,,,
,,,,Dishwasher Total,,21,,,,,,,,
,,,,Combo Washer & Dryer,(blank),9,,,,,,,,
,,,,,Unknown,5,,,,,,,,
,,,,Combo Washer & Dryer Total,,14,,,,,,,,
,,,,Small Appliance,Other,6,,,,,,,,
,,,,Small Appliance Total,,6,,,,,,,,
,,,Hoover - (Domestic) Total,,,743,,,,,,,,
,,,Baumatic - (Domestic),Oven - (Freestanding),Electric,90,,,,,,,,
,,,,,Free Standing,64,,,,,,,,
,,,,,Dual Fuel,30,,,,,,,,
,,,,,(blank),29,,,,,,,,
,,,,,Built In,20,,,,,,,,
,,,,,Double,8,,,,,,,,
,,,,Oven - (Freestanding) Total,,241,,,,,,,,
,,,,Dishwasher,Under Bench,83,,,,,,,,
,,,,,Free Standing,46,,,,,,,,
,,,,,Fully Integrated,42,,,,,,,,
,,,,,Semi Integrated,38,,,,,,,,
,,,,,(blank),29,,,,,,,,
,,,,Dishwasher Total,,238,,,,,,,,
,,,,Cooktop,Natural Gas,34,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,,LPG Gas,24,,,,,,,,
,,,,,Induction,18,,,,,,,,
,,,,Cooktop Total,,101,,,,,,,,
,,,,Oven - (Built In),Electric,56,,,,,,,,
,,,,Oven - (Built In) Total,,56,,,,,,,,
,,,,Rangehood,Canopy,35,,,,,,,,
,,,,,Slide out,8,,,,,,,,
,,,,Rangehood Total,,43,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,8,,,,,,,,
,,,,,Wine Fridge,6,,,,,,,,
,,,,,Other,6,,,,,,,,
,,,,Refrigerator Total,,20,,,,,,,,
,,,,Microwave,Combination,9,,,,,,,,
,,,,,Built In,7,,,,,,,,
,,,,Microwave Total,,16,,,,,,,,
,,,,Washing Machine,Top Loader,8,,,,,,,,
,,,,,Front Loader,6,,,,,,,,
,,,,Washing Machine Total,,14,,,,,,,,
,,,Baumatic - (Domestic) Total,,,729,,,,,,,,
,,,Meiko - (Commercial),Dishwasher,(blank),697,,,,,,,,
,,,,,Under Bench,11,,,,,,,,
,,,,Dishwasher Total,,708,,,,,,,,
,,,,Commercial Appliance,Dishwasher - (Hood Type / Passthrough),9,,,,,,,,
,,,,Commercial Appliance Total,,9,,,,,,,,
,,,,Other,(blank),4,,,,,,,,
,,,,Other Total,,4,,,,,,,,
,,,Meiko - (Commercial) Total,,,721,,,,,,,,
,,,Bromic - (Commercial),Refrigerator,(blank),296,,,,,,,,
,,,,,Freezer Only,259,,,,,,,,
,,,,,Fridge Only,74,,,,,,,,
,,,,,Fridge & Freezer,58,,,,,,,,
,,,,,Other,8,,,,,,,,
,,,,Refrigerator Total,,695,,,,,,,,
,,,,Other,(blank),6,,,,,,,,
,,,,Other Total,,6,,,,,,,,
,,,,Bar Freezer,(blank),5,,,,,,,,
,,,,Bar Freezer Total,,5,,,,,,,,
,,,,Combo Fridge/Freezer,(blank),5,,,,,,,,
,,,,Combo Fridge/Freezer Total,,5,,,,,,,,
,,,Bromic - (Commercial) Total,,,711,,,,,,,,
,,,Unknown,Refrigerator,Fridge Only,73,,,,,,,,
,,,,,Bar Fridge,59,,,,,,,,
,,,,,(blank),51,,,,,,,,
,,,,,Other,44,,,,,,,,
,,,,,Fridge & Freezer,20,,,,,,,,
,,,,,Freezer Only,15,,,,,,,,
,,,,Refrigerator Total,,262,,,,,,,,
,,,,Commercial Appliance,(blank),22,,,,,,,,
,,,,,Bainmarie,17,,,,,,,,
,,,,,Wine Fridge,13,,,,,,,,
,,,,,Fridge & Freezer,10,,,,,,,,
,,,,,Fridge Only,10,,,,,,,,
,,,,,Refridgerator,9,,,,,,,,
,,,,,Fryers,7,,,,,,,,
,,,,,Oven,5,,,,,,,,
,,,,Commercial Appliance Total,,93,,,,,,,,
,,,,Cooktop,Gas,30,,,,,,,,
,,,,,Natural Gas,20,,,,,,,,
,,,,,LPG Gas,17,,,,,,,,
,,,,,Electric,3,,,,,,,,
,,,,,Induction,3,,,,,,,,
,,,,Cooktop Total,,73,,,,,,,,
,,,,Oven - (Freestanding),Electric,23,,,,,,,,
,,,,,(blank),17,,,,,,,,
,,,,,Free Standing,12,,,,,,,,
,,,,,Natural Gas,6,,,,,,,,
,,,,,Double,5,,,,,,,,
,,,,,Dual Fuel,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,68,,,,,,,,
,,,,Rangehood,(blank),20,,,,,,,,
,,,,,Slide out,17,,,,,,,,
,,,,,Canopy,10,,,,,,,,
,,,,Rangehood Total,,47,,,,,,,,
,,,,Washing Machine,Front Loader,34,,,,,,,,
,,,,,Top Loader,11,,,,,,,,
,,,,Washing Machine Total,,45,,,,,,,,
,,,,Dishwasher,Under Bench,13,,,,,,,,
,,,,,Free Standing,8,,,,,,,,
,,,,Dishwasher Total,,21,,,,,,,,
,,,,Oven - (Built In),Electric,13,,,,,,,,
,,,,,(blank),4,,,,,,,,
,,,,Oven - (Built In) Total,,17,,,,,,,,
,,,,Other,(blank),10,,,,,,,,
,,,,Other Total,,10,,,,,,,,
,,,,Dryer,(blank),10,,,,,,,,
,,,,Dryer Total,,10,,,,,,,,
,,,,Combo Fridge/Freezer,(blank),9,,,,,,,,
,,,,Combo Fridge/Freezer Total,,9,,,,,,,,
,,,,Cool Room,(blank),6,,,,,,,,
,,,,Cool Room Total,,6,,,,,,,,
,,,,Vacuum Cleaner,(blank),3,,,,,,,,
,,,,Vacuum Cleaner Total,,3,,,,,,,,
,,,,Microwave,(blank),3,,,,,,,,
,,,,Microwave Total,,3,,,,,,,,
,,,Unknown Total,,,667,,,,,,,,
,,,Euro - (Domestic),Oven - (Freestanding),Electric,72,,,,,,,,
,,,,,Free Standing,43,,,,,,,,
,,,,,Gas,40,,,,,,,,
,,,,,Dual Fuel,28,,,,,,,,
,,,,,(blank),20,,,,,,,,
,,,,Oven - (Freestanding) Total,,203,,,,,,,,
,,,,Dishwasher,Under Bench,79,,,,,,,,
,,,,,(blank),56,,,,,,,,
,,,,,Free Standing,51,,,,,,,,
,,,,Dishwasher Total,,186,,,,,,,,
,,,,Cooktop,Induction,18,,,,,,,,
,,,,,LPG Gas,15,,,,,,,,
,,,,,Natural Gas,13,,,,,,,,
,,,,,Electric,12,,,,,,,,
,,,,Cooktop Total,,58,,,,,,,,
,,,,Oven - (Built In),Electric,56,,,,,,,,
,,,,Oven - (Built In) Total,,56,,,,,,,,
,,,,Washing Machine,Front Loader,33,,,,,,,,
,,,,,(blank),21,,,,,,,,
,,,,Washing Machine Total,,54,,,,,,,,
,,,,Refrigerator,Wine Fridge,18,,,,,,,,
,,,,,Fridge & Freezer,10,,,,,,,,
,,,,Refrigerator Total,,28,,,,,,,,
,,,,Dryer,(blank),12,,,,,,,,
,,,,,Vented,8,,,,,,,,
,,,,,Condenser,6,,,,,,,,
,,,,Dryer Total,,26,,,,,,,,
,,,,Rangehood,Slide out,25,,,,,,,,
,,,,,Canopy,1,,,,,,,,
,,,,Rangehood Total,,26,,,,,,,,
,,,Euro - (Domestic) Total,,,637,,,,,,,,
,,,Panasonic - (Domestic),Microwave,(blank),149,,,,,,,,
,,,,,Bench Top,47,,,,,,,,
,,,,,Combination,30,,,,,,,,
,,,,,Built In,17,,,,,,,,
,,,,,Inverter,10,,,,,,,,
,,,,,Convection,9,,,,,,,,
,,,,Microwave Total,,262,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,192,,,,,,,,
,,,,Refrigerator Total,,192,,,,,,,,
,,,,Washing Machine,Front Loader,64,,,,,,,,
,,,,,Top Loader,38,,,,,,,,
,,,,Washing Machine Total,,102,,,,,,,,
,,,,Oven - (Built In),Electric,49,,,,,,,,
,,,,Oven - (Built In) Total,,49,,,,,,,,
,,,,Dryer,Heat Pump,21,,,,,,,,
,,,,Dryer Total,,21,,,,,,,,
,,,,Ice Maker,(blank),5,,,,,,,,
,,,,Ice Maker Total,,5,,,,,,,,
,,,,Rangehood,(blank),1,,,,,,,,
,,,,Rangehood Total,,1,,,,,,,,
,,,Panasonic - (Domestic) Total,,,632,,,,,,,,
,,,St George - (Premium Domestic) - (Limited Parts),Oven - (Freestanding),Electric,122,,,,,,,,
,,,,,Gas,52,,,,,,,,
,,,,,Double,46,,,,,,,,
,,,,,(blank),34,,,,,,,,
,,,,,Free Standing,25,,,,,,,,
,,,,,Dual Fuel,16,,,,,,,,
,,,,,LPG Gas,4,,,,,,,,
,,,,Oven - (Freestanding) Total,,299,,,,,,,,
,,,,Oven - (Built In),Electric,130,,,,,,,,
,,,,,(blank),29,,,,,,,,
,,,,,Double,18,,,,,,,,
,,,,,Gas,18,,,,,,,,
,,,,,Pyrolytic,8,,,,,,,,
,,,,Oven - (Built In) Total,,203,,,,,,,,
,,,,Cooktop,Ceramic,26,,,,,,,,
,,,,,Natural Gas,14,,,,,,,,
,,,,,Electric,8,,,,,,,,
,,,,,Induction,5,,,,,,,,
,,,,Cooktop Total,,53,,,,,,,,
,,,,Chest Freezer,(blank),23,,,,,,,,
,,,,Chest Freezer Total,,23,,,,,,,,
,,,,Rangehood,(blank),11,,,,,,,,
,,,,,Canopy,3,,,,,,,,
,,,,Rangehood Total,,14,,,,,,,,
,,,St George - (Premium Domestic) - (Limited Parts) Total,,,592,,,,,,,,
,,,GE - (Premium Domestic) - (Limited Parts),Refrigerator,Fridge & Freezer,504,,,,,,,,
,,,,,(blank),19,,,,,,,,
,,,,,Side By Side,17,,,,,,,,
,,,,Refrigerator Total,,540,,,,,,,,
,,,,Washing Machine,Top Loader,24,,,,,,,,
,,,,Washing Machine Total,,24,,,,,,,,
,,,,Ice Maker,(blank),7,,,,,,,,
,,,,Ice Maker Total,,7,,,,,,,,
,,,GE - (Premium Domestic) - (Limited Parts) Total,,,571,,,,,,,,
,,,Dishlex - (Domestic),Dishwasher,Free Standing,247,,,,,,,,
,,,,,Under Bench,207,,,,,,,,
,,,,,(blank),92,,,,,,,,
,,,,Dishwasher Total,,546,,,,,,,,
,,,Dishlex - (Domestic) Total,,,546,,,,,,,,
,,,Washtech - (Commercial),Dishwasher,(blank),306,,,,,,,,
,,,,,Free Standing,72,,,,,,,,
,,,,,Other,38,,,,,,,,
,,,,,Under Bench,18,,,,,,,,
,,,,,Bench Top,11,,,,,,,,
,,,,Dishwasher Total,,445,,,,,,,,
,,,,Commercial Appliance,Glass Washer,28,,,,,,,,
,,,,,Dishwasher - (Underbench),19,,,,,,,,
,,,,Commercial Appliance Total,,47,,,,,,,,
,,,,Washing Machine,(blank),20,,,,,,,,
,,,,,Front Loader,5,,,,,,,,
,,,,Washing Machine Total,,25,,,,,,,,
,,,,Pass Through Dishwasher,(blank),5,,,,,,,,
,,,,Pass Through Dishwasher Total,,5,,,,,,,,
,,,Washtech - (Commercial) Total,,,522,,,,,,,,
,,,Classeq - (Commercial),Dishwasher,(blank),141,,,,,,,,
,,,,,Under Bench,135,,,,,,,,
,,,,,Free Standing,94,,,,,,,,
,,,,Dishwasher Total,,370,,,,,,,,
,,,,Other,(blank),108,,,,,,,,
,,,,Other Total,,108,,,,,,,,
,,,,Commercial Appliance,Glass Washer,13,,,,,,,,
,,,,Commercial Appliance Total,,13,,,,,,,,
,,,,Pass Through Dishwasher,(blank),9,,,,,,,,
,,,,Pass Through Dishwasher Total,,9,,,,,,,,
,,,Classeq - (Commercial) Total,,,500,,,,,,,,
,,,Sharp - (Domestic),Refrigerator,Fridge & Freezer,287,,,,,,,,
,,,,,(blank),22,,,,,,,,
,,,,,French Door,14,,,,,,,,
,,,,Refrigerator Total,,323,,,,,,,,
,,,,Microwave,(blank),44,,,,,,,,
,,,,,Bench Top,35,,,,,,,,
,,,,,Combination,20,,,,,,,,
,,,,,Convection,3,,,,,,,,
,,,,Microwave Total,,102,,,,,,,,
,,,,Washing Machine,Front Loader,15,,,,,,,,
,,,,Washing Machine Total,,15,,,,,,,,
,,,Sharp - (Domestic) Total,,,440,,,,,,,,
,,,Goldstein - (Commercial),Oven - (Freestanding),(blank),154,,,,,,,,
,,,,,Electric,30,,,,,,,,
,,,,,Free Standing,24,,,,,,,,
,,,,,Combination Microwave & Oven,16,,,,,,,,
,,,,,Natural Gas,8,,,,,,,,
,,,,,LPG Gas,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,237,,,,,,,,
,,,,Cooktop,Gas,55,,,,,,,,
,,,,,Electric,34,,,,,,,,
,,,,,Unknown,6,,,,,,,,
,,,,,(blank),6,,,,,,,,
,,,,,Natural Gas,3,,,,,,,,
,,,,Cooktop Total,,104,,,,,,,,
,,,,Dishwasher,(blank),51,,,,,,,,
,,,,,Under Bench,8,,,,,,,,
,,,,Dishwasher Total,,59,,,,,,,,
,,,,Commercial Appliance,Fryers,11,,,,,,,,
,,,,Commercial Appliance Total,,11,,,,,,,,
,,,,Other,(blank),7,,,,,,,,
,,,,Other Total,,7,,,,,,,,
,,,,Bain Marie,(blank),5,,,,,,,,
,,,,Bain Marie Total,,5,,,,,,,,
,,,Goldstein - (Commercial) Total,,,423,,,,,,,,
,,,Ikea - (Domestic) - (Limited Parts),Refrigerator,(blank),173,,,,,,,,
,,,,,Fridge & Freezer,36,,,,,,,,
,,,,Refrigerator Total,,209,,,,,,,,
,,,,Dishwasher,Fully Integrated,75,,,,,,,,
,,,,,(blank),27,,,,,,,,
,,,,,Under Bench,24,,,,,,,,
,,,,,Semi Integrated,13,,,,,,,,
,,,,Dishwasher Total,,139,,,,,,,,
,,,,Cooktop,Induction,15,,,,,,,,
,,,,,Ceramic,6,,,,,,,,
,,,,Cooktop Total,,21,,,,,,,,
,,,,Oven - (Built In),Electric,16,,,,,,,,
,,,,Oven - (Built In) Total,,16,,,,,,,,
,,,,Oven - (Freestanding),Built In,5,,,,,,,,
,,,,,Free Standing,5,,,,,,,,
,,,,,Electric,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,15,,,,,,,,
,,,,Microwave,Combination,5,,,,,,,,
,,,,,Built In,3,,,,,,,,
,,,,Microwave Total,,8,,,,,,,,
,,,,Rangehood,(blank),5,,,,,,,,
,,,,Rangehood Total,,5,,,,,,,,
,,,Ikea - (Domestic) - (Limited Parts) Total,,,413,,,,,,,,
,,,Jenn Air - (Premium Domestic) - (Limited Parts),Refrigerator,Fridge & Freezer,311,,,,,,,,
,,,,,(blank),74,,,,,,,,
,,,,,Side By Side,6,,,,,,,,
,,,,,Freezer Only,1,,,,,,,,
,,,,Refrigerator Total,,392,,,,,,,,
,,,,Cooktop,Electric,9,,,,,,,,
,,,,Cooktop Total,,9,,,,,,,,
,,,Jenn Air - (Premium Domestic) - (Limited Parts) Total,,,401,,,,,,,,
,,,Orford - (Commercial),Refrigerator,(blank),217,,,,,,,,
,,,,,Fridge Only,59,,,,,,,,
,,,,,Other,23,,,,,,,,
,,,,Refrigerator Total,,299,,,,,,,,
,,,,Commercial Appliance,Fridge Only,69,,,,,,,,
,,,,Commercial Appliance Total,,69,,,,,,,,
,,,Orford - (Commercial) Total,,,368,,,,,,,,
,,,Smeg Professional - (Commercial),Dishwasher,(blank),138,,,,,,,,
,,,,,Under Bench,95,,,,,,,,
,,,,,Other,23,,,,,,,,
,,,,,Free Standing,16,,,,,,,,
,,,,,Unknown,6,,,,,,,,
,,,,Dishwasher Total,,278,,,,,,,,
,,,,Oven - (Freestanding),Electric,38,,,,,,,,
,,,,,Free Standing,11,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Oven - (Freestanding) Total,,54,,,,,,,,
,,,,Refrigerator,(blank),14,,,,,,,,
,,,,Refrigerator Total,,14,,,,,,,,
,,,,Commercial Appliance,Dishwasher - (Hood Type / Passthrough),14,,,,,,,,
,,,,Commercial Appliance Total,,14,,,,,,,,
,,,,Other,(blank),5,,,,,,,,
,,,,Other Total,,5,,,,,,,,
,,,Smeg Professional - (Commercial) Total,,,365,,,,,,,,
,,,Electrolux Professional - (Commercial),Oven - (Built In),Electric,132,,,,,,,,
,,,,,(blank),23,,,,,,,,
,,,,Oven - (Built In) Total,,155,,,,,,,,
,,,,Dishwasher,(blank),61,,,,,,,,
,,,,,Free Standing,5,,,,,,,,
,,,,,Other,4,,,,,,,,
,,,,Dishwasher Total,,70,,,,,,,,
,,,,Oven - (Freestanding),Steam Oven,29,,,,,,,,
,,,,,Other,16,,,,,,,,
,,,,,(blank),11,,,,,,,,
,,,,,Electric,6,,,,,,,,
,,,,,Combination Microwave & Oven,4,,,,,,,,
,,,,,Natural Gas,3,,,,,,,,
