Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
Indesit - (Domestic) - (Limited Parts),45,,,,Other,11,,,,Bellissimo - (Domestic),3,,,
Winterhalter - (Commercial),42,,,,Twin Tub,5,,,,Unknown,3,,,
Woodson - (Commercial),42,,,Washing Machine Total,,4447,,,,,,,,
Kolb - (Commercial) - (Limited Parts),40,,,Refrigerator,Fridge & Freezer,3428,,,Cooktop,Miele - (Premium Domestic),27,,,
Modena - (Domestic) - (Limited Parts),39,,,,French Door,320,,,,Westinghouse - (Domestic),25,,,
Sanden Intercool - (Commercial) - (Limited Parts),38,,,,(blank),258,,,,Blanco - (Domestic),22,,,
Kleenmaid By Speed Queen- (Premium Domestic),38,,,,Side By Side,106,,,,Smeg - (Domestic),20,,,
Thermaster - (Commercial),38,,,,Freezer Only,14,,,,Technika - (Domestic),19,,,
Daewoo - (Domestic) - (Limited Parts),37,,,,Bar Fridge,14,,,,Whirlpool - (Domestic),19,,,
Falcon - (Commercial),36,,,,Fridge Only,5,,,,Ilve - (Premium Domestic),18,,,
Atosa - (Commercial),36,,,Refrigerator Total,,4145,,,,Chef - (Domestic),18,,,
Avem Quirks - (Commercial) - (Limited Parts),35,,,Dishwasher,Under Bench,651,,,,Neff - (Premium Domestic),15,,,
Zanussi - (Domestic) - (Limited Parts),35,,,,Free Standing,430,,,,Bosch - (Domestic),14,,,
Hoshizaki - (Commercial),35,,,,(blank),192,,,,Fisher and Paykel - (Domestic),13,,,
Alliance - (Domestic) - (Limited Parts),35,,,,Single Dish Drawer,4,,,,Kleenmaid - (Premium Domestic),12,,,
Eurotag - (Commercial) - (Limited Parts),34,,,,Double Dish Drawer,2,,,,Baumatic - (Domestic),9,,,
Borrelli - (Commercial),34,,,Dishwasher Total,,1279,,,,DeLonghi - (Domestic),8,,,
Turboair - (Commercial),34,,,Dryer,Heat Pump,264,,,,Omega - (Domestic),8,,,
Sub Zero - (Premium Domestic),32,,,,Condenser,127,,,,Berto - (Commercial) - (Limited Parts),6,,,
Robot Coupe - (Commercial),31,,,,(blank),71,,,,Tisira - (Domestic),6,,,
Bompani - (Premium Domestic) - (Limited Parts),31,,,,Unknown,15,,,,Fagor - (Premium Domestic),6,,,
Skipio - (Commercial),31,,,,Electric,12,,,,Artusi - (Domestic),5,,,
Rhino - (Commercial),30,,,,Gas,8,,,,Franke - (Premium Domestic) - (Limited Parts),5,,,
Bissell - (Domestic),30,,,Dryer Total,,497,,,,Gaggenau - (Premium Domestic),3,,,
Semak,30,,,Combo Washer & Dryer,(blank),269,,,,Euromaid - (Domestic),3,,,
Sunbeam - (Domestic),28,,,,Electric,66,,,,,,,,
Ruey Shing - (Domestic) - (Limited Parts),27,,,,Unknown,45,,,Dryer,Fisher and Paykel - (Domestic),53,,,
Linea - (Domestic),27,,,,Other,31,,,,Bosch - (Domestic),28,,,
Baron - (Commercial),25,,,Combo Washer & Dryer Total,,411,,,,Electrolux - (Domestic),14,,,
Ziegler & Brown - (Commercial) - (Limited Parts),25,,,Microwave,Bench Top,13,,,,Hoover - (Domestic),13,,,
Teka - (Domestic) - (Limited Parts),25,,,,(blank),13,,,,LG - (Domestic),12,,,
ELFA - Bestlink - (Domestic) - (Limited Parts),24,,,,Built In,5,,,,Multiple Appliances,8,,,
Kastel - (Commercial),24,,,,Combination,4,,,,Speed Queen - (Commercial),8,,,
Kleenmaid Brandt - (Premium Domestic) - (Limited Parts),24,,,Microwave Total,,35,,,,Samsung - (Domestic),8,,,
Belair - (Domestic) - (Limited Parts),23,,,Cooktop,Natural Gas,22,,,,Asko - (Premium Domestic),7,,,
Exquisite - (Commercial),23,,,,Ceramic,5,,,,Euromaid - (Domestic),6,,,
Brillar - (Commercial),23,,,,Electric,3,,,,AEG - (Domestic),6,,,
Mecnosud,22,,,Cooktop Total,,30,,,,Beko - (Domestic),6,,,
Euroclean - (Domestic) - (Limited Parts),22,,,Oven - (Built In),(blank),15,,,,Simpson - (Domestic),5,,,
Modular - (Commercial),21,,,,Electric,3,,,,Miele - (Premium Domestic),5,,,
Novachill - (Commercial),20,,,Oven - (Built In) Total,,18,,,,Maytag - (Commercial),5,,,
American Range - (Commercial) - (Limited Parts),19,,,Oven - (Freestanding),Built In,6,,,,,,,,
Robinhood - (Domestic) - (Limited Parts),18,,,,Electric,4,,,Rangehood,Technika - (Domestic),8,,,
Braemar - (Domestic),18,,,Oven - (Freestanding) Total,,10,,,,Kleenmaid - (Premium Domestic),7,,,
Saltas - (Commercial),18,,,Vacuum Cleaner,(blank),6,,,,Fisher and Paykel - (Domestic),6,,,
Foster - (Domestic) - (Limited Part),18,,,Vacuum Cleaner Total,,6,,,,Smeg - (Domestic),6,,,
Eurolec - (Domestic) - (Limited Parts),18,,,Combo Fridge/Freezer,(blank),3,,,,Omega - (Domestic),6,,,
Residentia - (Domestic) - (Limited Parts),18,,,Combo Fridge/Freezer Total,,3,,,,Ilve - (Premium Domestic),6,,,
Lincoln - (Commercial),18,,,stacked washer & dryer,(blank),1,,,,Westinghouse - (Domestic),5,,,
Saeco - (Domestic),17,,,stacked washer & dryer Total,,1,,,,DeLonghi - (Domestic),3,,,
Teco - (Domestic),17,,LG - (Domestic) Total,,,10882,,,,Multiple Appliances,3,,,
V-Zug - (Premium Domestic) - (Limited Parts),17,,Miele - (Premium Domestic),Dishwasher,Under Bench,2103,,,,Euro - (Domestic),1,,,
Equisite - (Commercial),16,,,,Semi Integrated,600,,,,,,,,
Coldline,16,,,,(blank),585,,,,,,,,
Cold Display Solutions - (Commercial) - (Limited Parts),16,,,,Free Standing,516,,,,,,,,
Melitta - (WE DO NOT REPAIR),15,,,,Fully Integrated,467,,,,,,,,
Blue Seal - (Commercial) - (Limited Parts),15,,,,Other,10,,,,,,,,
CyberChilll - (Domestic) - (Limited Parts),14,,,,Double Dish Drawer,5,,,,,,,,
Vintec - (Premium Domestic),13,,,,Unknown,3,,,,,,,,
Fornelli - (Domestic) - (Limited Parts),13,,,Dishwasher Total,,4289,,,,,,,,
Viali - (Domestic),12,,,Washing Machine,Front Loader,1794,,,Coffee Machine,Breville - (Domestic),17,,,
Barazza - (Domestic) - (Limited Parts),12,,,,(blank),67,,,,Smeg - (Domestic),10,,,
Candy - (Domestic),12,,,,Top Loader,12,,,,DeLonghi - (Domestic),9,,,
Eurotag - (Domestic) - (Limited Parts),12,,,,Stacked,7,,,,Miele - (Premium Domestic),6,,,
Smart - (Domestic),12,,,Washing Machine Total,,1880,,,,,,,,
Maxfaro - (Domestic) - (Limited Parts),11,,,Cooktop,Induction,282,,,Combo Washer & Dryer,LG - (Domestic),19,,,
Euroart - Bestlink - (Domestic) - (Limited Parts),11,,,,Gas,268,,,,Electrolux - (Domestic),11,,,
Beefeater - (Premium Domestic),11,,,,Natural Gas,109,,,,Kogan - (Domestic) - (Limited Parts),3,,,
Platinum - (Domestic),11,,,,LPG Gas,74,,,,AEG - (Domestic),1,,,
Nobel - (Domestic) - (Limited Parts),11,,,,Electric,46,,,,,,,,
Scholtes - (Domestic),10,,,,(blank),23,,,Microwave,Miele - (Premium Domestic),6,,,
Kingsbottle - (Commercial),10,,,,Ceramic,6,,,,Technika - (Domestic),4,,,
Trinity -(Domestic),10,,,,Other,3,,,,Siemens - (Domestic),3,,,
Brohn - (Domestic),9,,,Cooktop Total,,811,,,Microwave Total,,13,,,
Showcase - (Commercial),9,,,Dryer,Heat Pump,191,,,Vacuum Cleaner,Dyson - (Domestic),9,,,
Gaggia - (Domestic),9,,,,(blank),176,,,Vacuum Cleaner Total,,9,,,
Dean - (Commercial) - (Limited Parts),9,,,,Condenser,115,,,Ice Maker,GE - (Premium Domestic) - (Limited Parts),7,,,
Salini - (Domestic),9,,,,Gas,14,,,Ice Maker Total,,7,,,
Vulcan - (Domestic),9,,,,Unknown,3,,,General Maintenance,Multiple Appliances,6,,,
Paul Bocuse - (Domestic) - (Limited Parts),9,,,,Electric,3,,,General Maintenance Total,,6,,,
Inomak - (Commercial),9,,,,Other,3,,,Small Appliance,Phillips - (Domestic),4,,,
GVA - (Domestic),9,,,Dryer Total,,505,,,Small Appliance Total,,4,,,
TCL - (Domestic) - (Limited Parts),8,,,Microwave,Built In,149,,,Commercial Appliance,Waldorf - (Commercial),3,,,
Heller - (Domestic) - (Limited Parts),8,,,,Combination,109,,,Commercial Appliance Total,,3,,,
Sammic S.L - (Commercial),8,,,,(blank),99,,,Cool Room,(blank),,,,
Middleby Marshall - (Commercial),8,,,,Bench Top,7,,,Cool Room Total,,,,,
Falmec - (Domestic),8,,,,Convection,6,,VIC Total,,,4146,,,
Vitrifrigo - (Commercial) - (Limited Parts),7,,,Microwave Total,,370,,NSW,Dishwasher,Fisher and Paykel - (Domestic),77,,,
Turbochef - (Commercial) - (Limited Parts),7,,,Refrigerator,Fridge & Freezer,244,,,,Bosch - (Domestic),69,,,
Daniela - (Domestic),7,,,,(blank),64,,,,Asko - (Premium Domestic),52,,,
Phillips - (Domestic),7,,,,Wine Fridge,40,,,,Miele - (Premium Domestic),50,,,
Canon - (Domestic) - (Limited Parts),6,,,,Fridge Only,9,,,,Smeg - (Domestic),28,,,
Berto - (Commercial) - (Limited Parts),6,,,,Freezer Only,6,,,,Eswood - (Commercial),19,,,
Metters - (Domestic),6,,,Refrigerator Total,,363,,,,Euro - (Domestic),16,,,
Primus - (Domestic) - (Limited Parts),6,,,Oven - (Built In),Electric,146,,,,Westinghouse - (Domestic),15,,,
Coldstream - (Domestic),6,,,,Steam Oven,51,,,,Dishlex - (Domestic),14,,,
Tecnogas - (Domestic) - (Limited Parts),6,,,,(blank),40,,,,AEG - (Domestic),14,,,
Nuline - (Commercial),5,,,,Pyrolytic,15,,,,Norris - (Commercial),13,,,
Fulgor - (Domestic) - (Limited Parts),5,,,Oven - (Built In) Total,,252,,,,Fagor - (Premium Domestic),11,,,
Think Appliances - (Domestic),5,,,Oven - (Freestanding),Electric,150,,,,Franke - (Premium Domestic) - (Limited Parts),10,,,
Cobra - (Commercial),5,,,,Built In,38,,,,LG - (Domestic),9,,,
Wega - (Commercial),5,,,,Other,12,,,,DeLonghi - (Domestic),8,,,
Maxkon - (Domestic) - (Limited Parts),5,,,,Pyrolytic,10,,,,Blanco - (Domestic),8,,,
Rhima - (Commercial),5,,,,(blank),9,,,,Kleenmaid - (Premium Domestic),7,,,
Mitchel - (Commercial) - (Limited Parts),5,,,,Dual Fuel,7,,,,Hobart - (Commercial),7,,,
Insignia - (Domestic) - (Limited Parts),5,,,,Combination Microwave & Oven,3,,,,Multiple Appliances,6,,,
Henny Penny - (Commercial),5,,,Oven - (Freestanding) Total,,229,,,,Omega - (Domestic),6,,,
Huebsch - (Domestic) - (Limited Parts),5,,,Rangehood,(blank),46,,,,Washtech - (Commercial),5,,,
Yokohama -(Domestic) - (Limited Parts),4,,,,Canopy,25,,,,Electrolux - (Domestic),5,,,
Arda - (Domestic) - (Limited Parts),4,,,,Fixed,18,,,,Ariston - (Domestic),5,,,
Frigidaire - (Domestic) - (Limited Parts),4,,,,Slide out,16,,,,Whirlpool - (Domestic),4,,,
Prossimo - (Domestic) - (Limited Parts),4,,,,Under Mount,12,,,,Scholtes - (Domestic),3,,,
Cybercool - (Domestic) - (Limited Parts),4,,,Rangehood Total,,117,,,,Linea - (Domestic),3,,,
Primus - (Commercial) - (Limited Parts),4,,,Coffee Machine,Built In,30,,,,IAG - (Domestic),3,,,
Gasmax - (Commercial),4,,,,(blank),25,,,,Other,3,,,
Savoir Faire - (Premium Domestic),4,,,,Domestic,5,,,Dishwasher Total,,470,,,
Pitt - (Premium Domestic) - (Limited Parts),3,,,Coffee Machine Total,,60,,,Washing Machine,Fisher and Paykel - (Domestic),85,,,
Porter & Charles - (Domestic),3,,,Combo Washer & Dryer,(blank),22,,,,LG - (Domestic),70,,,
Hot Point - (Domestic) - (Limited Parts),3,,,Combo Washer & Dryer Total,,22,,,,Bosch - (Domestic),59,,,
Fiori - (Domestic) - (Limited Parts),3,,,Vacuum Cleaner,(blank),5,,,,Samsung - (Domestic),34,,,
NEC - (Domestic) - (Limited Parts),3,,,Vacuum Cleaner Total,,5,,,,Simpson - (Domestic),17,,,
Kitchener Wine Cabinets - (Premium Domestic),3,,,Other,(blank),3,,,,Maytag - (Commercial),17,,,
Wellquip - (Commercial),3,,,Other Total,,3,,,,Miele - (Premium Domestic),15,,,
Benchfoods - (Commercial),3,,Miele - (Premium Domestic) Total,,,8906,,,,Euromaid - (Domestic),15,,,
Austral Appliance - (Domestic) - (Limited Parts),1,,Samsung - (Domestic),Refrigerator,Fridge & Freezer,4258,,,,Speed Queen - (Commercial),13,,,
AHT - (Commercial),1,,,,French Door,240,,,,Electrolux - (Domestic),9,,,
